;Molecule;d;m;k_hat_unity;n;optimal_columns;optimal_runtime_min;k_minimal_runtime;k_minimal_columns;RoT_default_runtime;RoT_default_columns;ratio_2_runtime;ratio_2_columns;RoT_specific_runtime;RoT_specific_columns;naive_1per_columns;naive_1per_runtime
0;Ethanol;9;0.87;10;31400.0;608;0.8;1.57;200;1.69;3670;1.30;401;1.23;2049;314;1.42
1;Uracil;12;1.07;32;31400.0;1061;0.6;3.86;200;1.41;3670;1.24;515;1.13;2325;314;2.14
2;Toluene;15;1.01;44;31400.0;3231;1.2;4.67;200;1.08;3670;1.07;1252;1.02;2767;314;2.44
3;Aspirin;21;1.14;236;31400.0;3231;4.5;7.01;200;1.13;3670;1.71;5705;1.36;4457;314;4.91
4;Azobenzene;26;1.02;62;31400.0;1851;2.3;7.57;200;1.21;3670;1.08;3135;1.07;3072;314;3.98
5;Catcher;88;1.02;316;31400.0;3226;4.9;13.42;200;1.02;3670;1.02;3562;1.10;5316;314;6.41
6;Nanotube;370;0.73;89;31400.0;9731;17.9;1.91;200;1.08;3670;1.05;6614;1.08;4488;314;1.98
7;Ethanol;9;0.87;10;75000;4075;2.7;2.86;500;1.16;6550;1.06;2233;1.02;3753;750;1.81
8;Uracil;12;1.07;32;75000;2299;1.4;1.44;500;1.51;6550;1.08;1145;1.16;4092;750;1.22
9;Toluene;15;1.01;44;75000;3444;2.8;2.76;750;1.07;6550;1.05;3204;1.02;4920;757;2.74
10;Aspirin;21;1.14;236;75000;5726;6.4;6.35;750;1.07;6550;1.02;5490;1.14;7741;757;6.30
11;Azobenzene;26;1.02;62;75000;3228;4.2;2.81;500;1.53;6550;1.04;2317;1.26;5175;691;2.01
12;Catcher;88;1.02;316;75000;5456;15.2;1.47;1000;1.02;6550;1.03;3686;1.06;9460;1008;1.47
13;Nanotube;370;0.73;89;75000;7987;60;2.32;750;1.23;6550;1.02;8727;1.01;8506;757;2.31
14;Ethanol;9;0.87;10;158000.0;2368;12.;3.12;250;1.98;10740;1.01;2311;1.33;6294;1573;1.16
15;Uracil;12;1.07;32;158000.0;1350;6.0;4.47;250;2.51;10740;1;1292;1.69;6635;1573;1.01
16;Toluene;15;1.01;44;158000.0;7291;33.0;17.69;250;1.08;10740;1.02;8120;1.02;8058;1573;2.77
17;Aspirin;21;1.14;236;158000.0;7291;127.0;17.06;250;1.03;10740;1.04;12389;1.04;12420;1573;2.68
18;Azobenzene;26;1.02;62;158000.0;4155;28.0;7.21;250;1.3;10740;1.2;1370;1.15;8920;1573;1.18
19;Catcher;88;1.02;316;158000.0;2367;120.0;7.8;250;1.62;10740;1.85;16769;1.84;15453;1573;1.15
20;Nanotube;370;0.73;89;158000.0;22317;243.0;13.47;250;1.5;10740;1.2;1370;1.13;14672;1573;5.37
21;Ethanol;9;0.87;10;500000.0;7015;150.0;2.52;1000;2.76;23330;1.11;9168;1.54;14156;5039;1.02
22;Uracil;12;1.07;32;500000.0;7015;36.0;2.97;1000;2.1;23330;1.02;5243;1.31;14159;5039;1.03
23;Azobenzene;26;1.02;62;500000.0;18581;233.0;6.13;1000;1.08;23330;1.05;158000;1.01;19275;5039;1.89
24;Catcher;88;1.02;316;500000.0;10648;506;1.0;2500;1.08;23330;1.00;11220;1.1;33411;5039;1.11
25;Nanotube;370;0.73;89;500000.0;22317;1093;1.98;2500;1.06;23330;1.02;36584;1.01;34610;10100;1.96
26;Toluene;15;1.01;44;500000.0;7291;166;1.46;10000;2.3;23330;1.27;11605;1.72;17455;5039;1.02
27;Aspirin;21;1.14;236;500000.0;23003;376;3.65;3000;1.00;23332;1.06;28757;1.03;26055;5039;2.50
